bloco	parcela	n	p	k	ms_folha	ms_lenho	ms_casca	ms_galho	altura	dap	volume	p_resina	mo_solo	p_h_solo	k_solo	ca_solo	mg_solo	h_al_solo	al_solo	sb	ctc	v	ca_ctc	mg_ctc	m	compartimento	n_2	p_2	k_2	ca	mg	s	b	cu	fe	mn	zn	Dose_N	Dose_P	Dose_K
C	2	1	1	1	1273.94317528736	8316.03807101727	769.543821497121	1391.08179360465	6	0.0579323992854499	21.0873228097058	6	14	3.6	0.7	1	1	25	5	2.7	27.7	10	4	4	65	GALHO	9055.94247636628	1456.20795536461	11858.9722904797	9007.25461359012	2086.62269040698	558.534475136837	17894.9758110698	6955.40896802326	44514.6173953488	912549.656604651	12519.7361424419	0	70	180
C	2	1	1	1	1273.94317528736	8316.03807101727	769.543821497121	1391.08179360465	6	0.0579323992854499	21.0873228097058	6	14	3.6	0.7	1	1	25	5	2.7	27.7	10	4	4	65	CASCA	3555.2924553167	665.632433120006	6771.98562917466	12928.3362011516	1789.18938498081	339.190786786234	15574.0380966726	3847.7191074856	27703.5775738963	1005024.23087524	8464.98203646833	0	70	180
C	2	0	1	1	1072.33774468085	4969.19047554348	824.273301630434	827.065601503759	5.9	0.053157750992693	17.4587189573286	2	12	4	3.1	2	1	20	4	6.1	26.1	23	8	4	40	FOLHA	20342.2470165957	1405.70869518836	9543.80592765957	7318.70510744681	3565.52300106383	1374.74012206995	47312.9841813673	6434.02646808511	196237.807276596	1145256.71131915	13940.3906808511	0	70	180
C	2	0	1	1	1072.33774468085	4969.19047554348	824.273301630434	827.065601503759	5.9	0.053157750992693	17.4587189573286	2	12	4	3.1	2	1	20	4	6.1	26.1	23	8	4	40	LENHO	11478.8299985054	300.833077921337	11801.8273794158	6584.17738009511	2733.05476154891	1611.30733268413	63924.0221310245	14907.5714266304	700655.85705163	631087.190394022	238521.142826087	0	70	180
C	2	0	1	1	1072.33774468085	4969.19047554348	824.273301630434	827.065601503759	5.9	0.053157750992693	17.4587189573286	2	12	4	3.1	2	1	20	4	6.1	26.1	23	8	4	40	GALHO	5036.82951315789	598.21899997386	4921.04032894737	4652.24400845865	1302.62832236842	397.372107973321	9740.4546737645	5789.45921052632	31428.4928571429	500374.688909774	11578.9184210526	0	70	180
C	2	0	1	1	1072.33774468085	4969.19047554348	824.273301630434	827.065601503759	5.9	0.053157750992693	17.4587189573286	2	12	4	3.1	2	1	20	4	6.1	26.1	23	8	4	40	CASCA	3635.04526019021	596.199321202538	7006.32306385869	15743.6200611413	2143.11058423913	396.03051900536	16197.5817463024	16485.4660326087	33795.2053668478	1125133.05672554	9891.27961956521	0	70	180
C	3	1	1	1	2483.79267318436	12996.4056211042	1252.89090160285	1940.39918939394	6.61	0.070028174960434	33.944877141309	11	14	4.1	0.6	2	3	25	4	5.6	30.6	18	7	10	42	FOLHA	50073.2602913967	3255.96014414239	18690.5398657123	12046.3944649441	5588.5335146648	3061.16673256891	83101.175891434	12418.9633659218	489307.156617318	2575693.00209218	34773.097424581	70	70	180
C	3	1	1	1	2483.79267318436	12996.4056211042	1252.89090160285	1940.39918939394	6.61	0.070028174960434	33.944877141309	11	14	4.1	0.6	2	3	25	4	5.6	30.6	18	7	10	42	LENHO	28202.2001977961	786.797914902493	52310.5326249443	4873.65210791407	5198.56224844167	2747.58292530455	98065.7224693631	51985.6224844167	402888.57425423	1533575.86329029	324910.140527605	70	70	180
C	3	1	1	1	2483.79267318436	12996.4056211042	1252.89090160285	1940.39918939394	6.61	0.070028174960434	33.944877141309	11	14	4.1	0.6	2	3	25	4	5.6	30.6	18	7	10	42	GALHO	10051.2678010606	1818.26800727832	9362.42608882576	9701.9959469697	2813.57882462121	779.091386133187	27094.1111269319	13582.7943257576	56271.5764924242	1140954.72336364	15523.1935151515	70	70	180
C	3	1	1	1	2483.79267318436	12996.4056211042	1252.89090160285	1940.39918939394	6.61	0.070028174960434	33.944877141309	11	14	4.1	0.6	2	3	25	4	5.6	30.6	18	7	10	42	CASCA	6051.46305474177	1642.39265403241	11369.9849320459	20296.8326059662	4040.57315766919	454.395380698056	32183.589708732	5011.5636064114	33828.054343277	1898129.71592832	15034.6908192342	70	70	180
C	3	0	1	1	1663.22769203747	8397.24195894428	752.295284457478	933.803812056738	6.72	0.0541126806512444	20.6060398715299	1	13	4	0.6	4	3	22	4	7.6	29.6	26	14	10	34	FOLHA	35626.3371634426	2440.0898932415	17547.0521509953	11725.7552288642	5322.32861451991	1968.57042662683	64867.0125610512	13305.8215362998	171312.45227986	1914375.07353513	31601.3261487119	70	70	180
C	3	0	1	1	1663.22769203747	8397.24195894428	752.295284457478	933.803812056738	6.72	0.0541126806512444	20.6060398715299	1	13	4	0.6	4	3	22	4	7.6	29.6	26	14	10	34	LENHO	21748.8566736657	508.366132671362	29180.4158073314	5248.27622434018	3568.82783255132	1931.15228783666	63362.2574934651	50383.4517536657	487040.033618768	848121.437853372	277108.984645161	70	70	180
C	3	0	1	1	1663.22769203747	8397.24195894428	752.295284457478	933.803812056738	6.72	0.0541126806512444	20.6060398715299	1	13	4	0.6	4	3	22	4	7.6	29.6	26	14	10	34	GALHO	7517.12068705674	1596.01629393526	7750.57164007092	7727.2265447695	1190.59986037234	486.133833694933	14600.1869420565	11205.6457446809	42954.9753546099	715293.720035461	13073.2533687943	70	70	180
C	3	0	1	1	1663.22769203747	8397.24195894428	752.295284457478	933.803812056738	6.72	0.0541126806512444	20.6060398715299	1	13	4	0.6	4	3	22	4	7.6	29.6	26	14	10	34	CASCA	3264.96153454545	650.712963485227	6751.85017800586	12356.4500472141	3027.98851994135	215.343066216562	16566.416658189	6018.36227565982	39119.3547917888	953158.125407625	9027.54341348974	70	70	180
C	4	1	1	1	2412.44032081545	15777.7383333333	1170.85406123277	2136.05526590909	4.24	0.0541126806512444	13.0014299189415	29	15	5.1	2.5	15	14	15	2	31.5	46.5	68	32	30	6	FOLHA	49141.4093350107	3925.98298984799	21953.2069194206	9529.13926722103	6513.58886620172	3461.56036644177	56036.5092912196	21711.9628873391	306379.920743562	1715245.06809979	45836.3660954936	105	70	180
C	4	1	1	1	2412.44032081545	15777.7383333333	1170.85406123277	2136.05526590909	4.24	0.0541126806512444	13.0014299189415	29	15	5.1	2.5	15	14	15	2	31.5	46.5	68	32	30	6	LENHO	47490.9923833333	1951.13326937194	54433.19725	9861.08645833333	5916.651875	3044.20138338319	127242.653327746	63110.9533333333	1120219.42166667	1577773.83333333	662665.01	105	70	180
C	4	1	1	1	2412.44032081545	15777.7383333333	1170.85406123277	2136.05526590909	4.24	0.0541126806512444	13.0014299189415	29	15	5.1	2.5	15	14	15	2	31.5	46.5	68	32	30	6	GALHO	15400.9584672045	2636.44723596758	16180.6186392614	16447.6255475	4272.11053181818	1026.28954972679	34601.7227524443	14952.3868613636	115346.984359091	1710980.26799318	32040.8289886364	105	70	180
C	4	1	1	1	2412.44032081545	15777.7383333333	1170.85406123277	2136.05526590909	4.24	0.0541126806512444	13.0014299189415	29	15	5.1	2.5	15	14	15	2	31.5	46.5	68	32	30	6	CASCA	4589.74792003244	1534.85200239907	8839.94816230738	19523.9914710564	4185.80326890714	291.114868089696	26487.999153703	10537.6865510949	42150.7462043796	1292622.88360097	12879.3946735604	105	70	180
